,Batch size,OpenCLIP PyTorch,UForm PyTorch,UFrom ONNX fp32,UFrom ONNX fp16,UFrom ONNX i8,UFrom OpenVINO
0,1,38.0,125.0,132.0,94.0,98.0,106.0
1,4,64.0,208.0,156.0,132.0,104.0,136.0
2,16,80.0,192.0,144.0,128.0,112.0,176.0
3,64,128.0,320.0,192.0,128.0,128.0,192.0
4,128,128.0,384.0,128.0,128.0,128.0,128.0
5,256,256.0,512.0,256.0,256.0,256.0,256.0
